name,type,location_city,location_department,area_ha,price_per_ha,transaction_type,soil_type,water_source,altitude,image_url,polygon_data,is_listed,current_valuation,source_note
Predio Buenos Aires,Agrícola,Paramo,Colombia,1,0,Venta,"Mora Uva, Papa, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora Uva, Papa, Tomate De Arbol. Usuarios fuente: Usuario Numero 30, Usuario Numero 33, Usuario Numero 57. Secuencias: 30, 33, 57."
Predio Santa Isabel,Agrícola,Paramo,Colombia,1,0,Venta,Mora Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Uva. Usuarios fuente: Usuario Numero 31. Secuencias: 31.
Predio El Salitre,Agrícola,Paramo,Colombia,1,0,Venta,Mora De Castilla,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora De Castilla. Usuarios fuente: Usuario Numero 34. Secuencias: 34.
Predio El Olvido,Agrícola,Paramo,Colombia,1,0,Venta,"Mora De Castilla, Mora Uva",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora De Castilla, Mora Uva. Usuarios fuente: Usuario Numero 35, Usuario Numero 36. Secuencias: 35, 36."
Predio San Carlos,Agrícola,Paramo,Colombia,1,0,Venta,"Mora Castilla, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Mora Castilla, Tomate De Arbol. Usuarios fuente: Usuario Numero 37, Usuario Numero 38. Secuencias: 37, 38."
Predio El Progreso,Agrícola,Paramo,Colombia,1,0,Venta,"Lulo, Mora Uva, Papa, Tomate De Arbol",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Lulo, Mora Uva, Papa, Tomate De Arbol. Usuarios fuente: Usuario Numero 39, Usuario Numero 40, Usuario Numero 41, Usuario Numero 58, Usuario Numero 61. Secuencias: 39, 40, 41, 58, 61."
Predio Buenos Aires,Agrícola,Rio Suarez,Colombia,1,0,Venta,"Lima Acida, Mora Uva",No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,"Registro de análisis de suelos. Cultivos reportados: Lima Acida, Mora Uva. Usuarios fuente: Usuario Numero 44, Usuario Numero 45. Secuencias: 44, 45."
Predio El Porvenir,Agrícola,Montes,Colombia,1,0,Venta,Mora Uva,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Uva. Usuarios fuente: Usuario Numero 48. Secuencias: 48.
Predio Buena Vista,Agrícola,Montes,Colombia,1,0,Venta,Mora Castilla,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Castilla. Usuarios fuente: Usuario Numero 49. Secuencias: 49.
Predio La Esperanza,Agrícola,Montes,Colombia,1,0,Venta,Aguacate Hass,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Aguacate Hass. Usuarios fuente: Usuario Numero 50. Secuencias: 50.
Predio Los Curubus,Agrícola,Montes,Colombia,1,0,Venta,Mora Castilla,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Castilla. Usuarios fuente: Usuario Numero 51. Secuencias: 51.
Predio Loma Blanca,Agrícola,Montes,Colombia,1,0,Venta,Mora Castilla,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Mora Castilla. Usuarios fuente: Usuario Numero 52. Secuencias: 52.
Predio Jarantiva,Agrícola,Jarantiva,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 53. Secuencias: 53.
Predio El Progreso,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 54. Secuencias: 54.
Predio Campo Hermoso,Agrícola,Popoa Sur,Colombia,1,0,Venta,Guayaba,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Guayaba. Usuarios fuente: Usuario Numero 55. Secuencias: 55.
Predio El Bosque,Agrícola,Paramo,Colombia,1,0,Venta,Papa,No registrada,,https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=800&q=80,[],true,0,Registro de análisis de suelos. Cultivos reportados: Papa. Usuarios fuente: Usuario Numero 56. Secuencias: 56.
